"","Metabolites","FC.Value","log2.of.FC"
"1","aspartic acid",2.65175008177952,1.40694481286855
"2","glutamic acid",1.52826576037528,0.611895445099173
"3","hypoxanthine",1.52721795138167,0.610905965827976
"4","lactic acid",1.33013844058253,0.411576408995414
"5","phenol",1.34015025701858,0.422394764043314
"6","taurine",1.50023904919026,0.585192399123514
"7","deoxypentitol",1.53869664883746,0.621708835074001
