"","Metabolites","FC.Value","log2.of.FC"
"1","5-hydroxynorvaline NIST",0.704358699535548,-0.505617776465098
"2","cholesterol",0.849251803425421,-0.235735718150094
"3","inosine",0.56887667468224,-0.81381216662344
"4","N-methylalanine",0.7634270555222,-0.38943777894426
"5","nornicotine",0.703556286233452,-0.5072622476565
"6","quinic acid",0.540855040358516,-0.886686119281085
